"filename", "language", "XMake", "JSON", "Lua", "Markdown", "C++", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\hud\Hud.cpp", "C++", 0, 0, 0, 0, 162, 0, 0, 7, 169
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\hud\Hud.h", "C++", 0, 0, 0, 0, 19, 0, 0, 6, 25
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\locate\Duplicatable.cpp", "C++", 0, 0, 0, 0, 1607, 0, 41, 51, 1699
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\locate\DuplicatableManager.h", "C++", 0, 0, 0, 0, 158, 0, 1, 23, 182
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\MineruleManager.h", "C++", 0, 0, 0, 0, 79, 0, 0, 19, 98
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\PopulationCapHook.cpp", "C++", 0, 0, 0, 0, 170, 0, 4, 32, 206
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\PortalSandFarm.cpp", "C++", 0, 0, 0, 0, 21, 0, 0, 4, 25
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\RemovePortalZombieCD.cpp", "C++", 0, 0, 0, 0, 53, 0, 2, 3, 58
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\RestoreAncillaryBroken.cpp", "C++", 0, 0, 0, 0, 105, 0, 0, 6, 111
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\minerule\drophook.cpp", "C++", 0, 0, 0, 0, 93, 0, 0, 6, 99
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\noclip\Noclip.cpp", "C++", 0, 0, 0, 0, 39, 0, 0, 5, 44
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\noclip\Noclip.h", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 3
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\prof\Prof.cpp", "C++", 0, 0, 0, 0, 236, 0, 7, 19, 262
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\prof\Prof.h", "C++", 0, 0, 0, 0, 88, 0, 17, 17, 122
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\prof\TickHooks.cpp", "C++", 0, 0, 0, 0, 254, 0, 21, 19, 294
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\rotate\Rotate.cpp", "C++", 0, 0, 0, 0, 659, 0, 0, 23, 682
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\rotate\Rotate.h", "C++", 0, 0, 0, 0, 6, 0, 0, 4, 10
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\shortcuts\Shortcuts.cpp", "C++", 0, 0, 0, 0, 257, 0, 4, 13, 274
